cz,czname,pop2000,fips,statename,stateabbrv,cur_smoke_q1,bmi_obese_q1,exercise_any_q1,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate
31004,Liberal,32998.0,20,Kansas,KS,0.1235955,0.3373494,0.67415732,24.38093,9272.5583,1.035917,0.1947479,0.1268714,0.09864099999999999,0.020274200000000003,0.0064781000000000005,0.0326601,0.1595335,0.26493,0.1492136,0.07505,0.61983,1.1143695,52.46682,2.536517,32.1868,0.0340644
31005,Perryton,17432.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,31.115370000000002,9396.1821,4.19503,0.23858859999999998,0.1605895,0.1327661,0.0084523,0.0044334,0.0093799,0.05873009999999999,0.28398,0.14680279999999998,0.08223,0.5877100000000001,0.39569442,77.89697,0.1262047,29.74989,0.030900099999999996
31006,Guymon,29937.0,40,Oklahoma,OK,0.29487179999999996,0.1594203,0.65384614,28.46142,9201.2987,-0.6233134,0.1433025,0.089129,0.12015039999999999,0.0072952,0.0077028999999999995,0.0058088,0.043137699999999994,0.2756,0.1425599,0.06358,0.5978100000000001,0.78863799,84.3037,0.5110733000000001,26.23844,0.027648900000000004
31007,Dumas,31880.0,48,Texas,TX,0.27272729999999995,0.5454545999999999,0.45454547,30.17517,9599.9943,1.422289,0.218666,0.1137002,0.10480999999999999,0.0206165,0.0148894,0.0229071,0.0817794,0.27589,0.1268073,0.058039999999999994,0.60119,-0.35561346,56.75658000000001,1.9887080000000001,37.89837,0.0328989
31101,Victoria,165277.0,48,Texas,TX,0.2666667,0.43902440000000004,0.53333336,24.50123,10790.871000000001,-0.0709804,0.1562367,0.0957392,0.12154489999999998,0.0466267,0.0336554,0.06035499999999999,0.11959600000000001,0.34639000000000003,0.14472379999999999,0.12592,0.49986,-0.44886989,70.25417,6.353577,33.29683,0.04535619999999999
31102,La Grange,42194.0,48,Texas,TX,0.0,0.25,0.53846157,26.77903,9964.1786,0.6182564,0.178843,0.1110444,0.11203119999999998,0.0122139,0.0086017,0.0085193,0.07471339999999999,0.30867,0.1372419,0.20961999999999997,0.5431199999999999,0.37206913,72.32545,10.593919999999999,16.13974,0.039285400000000005
31103,Gonzales,18628.0,48,Texas,TX,0.3333333,0.375,0.66666669,31.62645,9948.72,0.8769415999999999,0.1730444,0.1069997,0.1280239,0.018377900000000003,0.016712599999999998,0.0197845,0.04623630000000001,0.31225,0.1855258,0.13004000000000002,0.46891000000000005,-0.82327764,58.43354,8.014816,39.62315,0.0368444
31201,Austin,1298076.0,48,Texas,TX,0.24137929999999996,0.2514124,0.65583175,21.88586,10137.893,-0.659305,0.1470589,0.0964077,0.10959780000000001,0.137936,0.1248056,0.15152770000000002,0.1714787,0.32142,0.1117117,0.22009,0.47123000000000004,-0.19094963,45.28972,7.804243,25.91636,0.0433376
31202,Burnet,51191.0,48,Texas,TX,0.5652174,0.1818182,0.47826087,28.04117,9603.8897,0.48505190000000004,0.1437503,0.11589880000000001,0.1295846,0.0302976,0.022573,0.0409231,0.065692,0.33693,0.10704489999999998,0.11996,0.5239,0.26993899,50.07521,1.0763610000000001,11.56258,0.0438579
31301,San Antonio,1724863.0,48,Texas,TX,0.22794120000000004,0.36357829999999997,0.60132891,23.026889999999998,10324.523000000001,-0.028458999999999998,0.15958529999999999,0.09705939999999999,0.1191614,0.1105953,0.0944008,0.1278194,0.2220705,0.39277,0.15106570000000002,0.14409,0.47117,-0.87970487,62.606190000000005,5.955951,50.3302,0.0456994
31302,Beeville,47805.0,48,Texas,TX,0.2222222,0.3529412,0.66666669,22.8227,11462.063999999998,1.642202,0.16629370000000002,0.1343883,0.1316543,0.022162900000000003,0.018639700000000002,0.025870999999999998,0.0799443,0.32405,0.2329026,0.13835,0.51498,-0.71365254,49.11411,9.932015,51.823029999999996,0.059273900000000004
31303,Kerrville,64467.0,48,Texas,TX,0.14285710000000001,0.3030303,0.74285716,27.89307,8473.33,0.6735361,0.16750520000000002,0.10283350000000001,0.1296692,0.0220116,0.016926,0.0245322,0.056099500000000004,0.3697,0.1307728,0.1113,0.51651,0.83736108,60.31148,1.191307,18.089879999999997,0.0401453
31304,Mason,3738.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,31.0231,8309.46,1.7449700000000001,0.1600508,0.1658554,0.11073030000000002,0.0153654,0.030218099999999998,0.009180299999999999,0.0577731,0.34272216666666666,0.1319989,0.11735233333333334,0.48946666666666666,0.71995645,77.52809,0.1337614,20.947029999999998,0.0294957
31401,Midland,262282.0,48,Texas,TX,0.27272729999999995,0.2407407,0.5090909,26.96551,10062.181999999999,1.633968,0.1689243,0.11413210000000001,0.1479441,0.066153,0.043567,0.0897015,0.1736568,0.38032,0.15961779999999998,0.14337,0.49368999999999996,-0.81546334,59.4486,5.2413050000000005,36.33913,0.043521
31402,Pecos,31286.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,27.818859999999997,9449.2526,0.6244826,0.1582284,0.0965824,0.1407634,0.0328867,0.021293400000000004,0.0407255,0.1088593,0.31544,0.2251063,0.11584000000000001,0.52647,-1.3855516,78.0294,2.688103,55.56159,0.0635304
31403,Fort Stockton,20908.0,48,Texas,TX,0.1351351,0.3243243,0.54054052,29.40741,9653.988000000001,1.8028279999999999,0.1521586,0.10530510000000001,0.17368789999999998,0.019337299999999998,0.0206008,0.0206338,0.08145,0.3465,0.20198460000000001,0.09256,0.48928,-1.0939072,52.96536999999999,3.4340919999999997,59.80486,0.0475769
31404,Alpine,18377.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,32.41301,6853.9914,-0.1449841,0.1275964,0.10596580000000001,0.1312205,0.0412236,0.0303556,0.0452167,0.1915281,0.3564,0.2515027,0.08578,0.46734,-0.26253329,59.98803,0.6148991,58.83441,0.08128049999999999
31501,Crystal City,21848.0,48,Texas,TX,0.24774444599999995,0.33267285,0.5541378114000001,27.68238,11312.053,3.268354,0.23944970000000004,0.11386130000000001,0.1461959,0.0199877,0.0194972,0.016788900000000002,0.0326486,0.33446,0.37722870000000003,0.10724000000000002,0.2848,-1.5744613,77.67300999999999,0.5034786,88.29184000000001,0.1054221
31502,Pearsall,22118.0,48,Texas,TX,0.0,0.5,0.33333334,26.16346,11513.011,-0.6928999,0.1410289,0.1036758,0.10640710000000002,0.012165299999999999,0.0051034,0.0162608,0.08441289999999999,0.35036999999999996,0.2917935,0.09465,0.39088,-0.80129059,88.18609000000001,4.381047,74.6496,0.06636639999999999
31503,Laredo,210580.0,48,Texas,TX,0.16410260000000002,0.3548387,0.55329949,36.66473,12372.93,1.3540709999999998,0.23176390000000002,0.09976030000000001,0.1056945,0.0883346,0.06394169999999999,0.11382529999999999,0.0648514,0.43443999999999994,0.3131215,0.21104,0.34836,-2.3525423,72.06335,0.16050910000000002,93.62238,0.0658965
31600,Brownsville,978369.0,48,Texas,TX,0.1401816,0.36449190000000004,0.54954952,37.70068,13376.146,-0.6914325,0.1531307,0.0939419,0.1063423,0.0658168,0.047079199999999995,0.0843732,0.1468408,0.42591999999999997,0.35679959999999994,0.15093,0.3013,-2.6873225,53.32988,0.3321855,87.42336,0.0938537
31700,Corpus Christi,503493.0,48,Texas,TX,0.2464286,0.3834586,0.62213743,23.97348,12211.945,0.1415259,0.1633061,0.0983866,0.1204297,0.07471889999999999,0.07120069999999999,0.0767364,0.190801,0.39273,0.1980188,0.13484000000000002,0.45374,-1.0322728,54.517340000000004,3.3025290000000003,56.75849,0.054898699999999995
31800,College Station,208437.0,48,Texas,TX,0.27160490000000004,0.2619048,0.6785714,23.30854,9888.3179,1.087661,0.1639626,0.1095042,0.13899579999999997,0.0822909,0.0773008,0.0897851,0.15990639999999998,0.37601,0.24449410000000002,0.10991,0.49716000000000005,-1.1106472,49.95562,12.994810000000001,17.18025,0.040742900000000006
31900,Pearland,320912.0,48,Texas,TX,0.2857143,0.35,0.6796875,22.7385,11213.776000000002,0.4455499,0.16935699999999998,0.0973372,0.12627349999999998,0.0667442,0.0548385,0.0776915,0.0914318,0.32356999999999997,0.1202671,0.07742,0.48868,-1.5676997,57.36619,9.666511999999999,24.8819,0.052906600000000005
32000,Houston,4504013.0,48,Texas,TX,0.2400722,0.2779727,0.61072737,27.61451,11749.778,-0.24088379999999998,0.1617386,0.09463680000000001,0.11321480000000002,0.129693,0.1049221,0.15386689999999997,0.28077759999999996,0.38856,0.13861070000000003,0.17512,0.44218999999999997,-1.8288284,49.79251,17.08201,28.886709999999997,0.0463839
32100,Beaumont,497770.0,48,Texas,TX,0.2684729,0.3376289,0.53280842,25.39915,10883.719,1.1958469999999999,0.1686385,0.11245339999999998,0.1361646,0.0532915,0.0558944,0.056031,0.2953098,0.35979,0.1614894,0.11667999999999999,0.48267,-0.9498144000000001,62.14818,22.52486,7.511500999999999,0.07338739999999999
32201,Huntsville,191792.0,48,Texas,TX,0.2857143,0.4222222,0.55102038,26.77717,11281.698,1.3230819999999999,0.1744642,0.1074994,0.1402844,0.036944199999999996,0.0360659,0.0342765,0.1242886,0.36536,0.1726046,0.13918,0.49822,-1.3857453000000002,52.14764,19.458579999999998,12.856119999999999,0.054322
