cz,czname,pop2000,fips,statename,stateabbrv,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,cs_educ_ba,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20
26602,Sisseton,20859.0,46,South Dakota,SD,19.1316,7518.5433,1.096244,0.191163,0.1214634,0.1081087,0.25472870000000003,82.702698,87.37186,75.833477,72.100718,64.228238,66.605946,0.0114184,0.0163464,0.0044773999999999994,0.2626905,0.24636999999999998,0.1797714,0.04579,0.61635,2.3311337000000005,83.10082,0.1054701,0.5848793999999999,0.0509087,-0.1468014,-0.07622580000000001,0.5998566,0.0994341,0.747895,0.0081499593,0.0092526008,7.029006,0.5632037,30613.08,52629.03354,5.0935403,13.904224,4.793709,14.61515,48.64725,0.1708626,0.0042667,1563.121,0.0259678,0.0
26603,East Corson,8225.0,46,South Dakota,SD,18.59962,7590.3558,-0.5390654,0.21368649999999997,0.063944,0.0934074,-3.1951099999999997,67.366315,44.262295,39.394844,44.262295,46.875,-123.19,0.0135305,0.0112905,0.0124541,0.2337092,0.30741999999999997,0.4012817,0.14908,0.46465,-0.24351506,69.2766,0.060790300000000005,1.8723400000000001,0.054114199999999994,-0.06703719999999999,-0.0247606,0.5462315,0.0158103,0.5056251,0.0092401216,0.01556231,2.3058240000000003,0.5046039999999999,17400.51,42377.24498,6.8534026,12.300553,-22.10246,11.25083,33.3845,0.3439099,0.0008511000000000001,1539.09,0.0171922,0.0
26604,Mobridge,7756.0,46,South Dakota,SD,15.912579999999998,7641.6676,1.625652,0.1592043,0.12835819999999998,0.1419234,-1.0109540000000001,47.980793,83.714802,74.410905,68.914991,63.823049,47.99685,0.0028564,0.0043023,0.0025406999999999995,0.14069700000000002,0.22195,0.1722082,0.04955,0.66279,2.3785098,83.41929,0.0257865,0.5157297000000001,0.039797000000000006,-0.1618759,-0.0982275,0.5931888000000001,0.029278600000000002,0.4919559,0.0048994327,0.0061887571,5.372657,0.7080196,31321.75,50143.1944,5.0901008,15.511961999999999,19.04026,15.57024,51.74825,0.188876,0.0046416,1702.434,0.026687799999999998,0.0
26605,Aberdeen,52825.0,46,South Dakota,SD,12.15196,8821.1044,-1.047764,0.1402422,0.0978563,0.10135219999999999,0.8339905999999999,86.871818,88.98317800000001,69.552763,81.269065,73.338238,71.877475,0.0252344,0.027128899999999997,0.0233632,0.0487584,0.25742,0.1176982,0.1084,0.63621,2.0630198,86.23947,0.22337910000000002,0.5660199,0.031381599999999996,-0.0997171,-0.005675199999999999,0.6561785,0.0937653,0.7652246,0.0083861808,0.0095977283,8.127424000000001,0.6763889,33759.89,80056.38709,5.042317099999999,15.441811999999999,7.67647,20.39828,54.7185,0.1536045,0.0055466000000000005,1759.469,0.030324,0.0
26701,Bemidji,101639.0,27,Minnesota,MN,13.657160000000001,7591.4043,0.0074670000000000005,0.13817190000000001,0.11001,0.124368,0.37794759999999994,83.932615,81.81267700000001,75.89491600000001,71.690237,70.920424,54.325217,0.0268113,0.027467099999999998,0.0246482,0.3174883,0.30176,0.14289770000000002,0.09319,0.57716,1.4431802,56.44684,0.2440008,0.845148,0.054423400000000004,0.1457187,0.3529913,0.6345986,0.11008530000000001,1.375521,0.018221352,0.0173850589,16.16141,0.4486814,31567.29,110234.1621,7.144876299999999,16.532107999999997,4.087255,19.6002,44.86275,0.2112471,0.006828100000000001,2723.08,0.020750599999999998,2.5
26702,Grafton,31090.0,38,North Dakota,ND,12.08875,7738.9214,0.3710949,0.1728886,0.11514110000000001,0.1050878,0.7673143,87.84155,86.218887,80.269773,81.158884,63.352982,74.752309,0.013253399999999999,0.0117642,0.0123869,0.07175110000000001,0.23815999999999998,0.10411669999999999,0.09879,0.6594,2.4151606,87.62625,0.1608234,3.415889,0.0376028,-0.22426269999999998,-0.0599265,0.6173794,0.1119579,2.5943400000000003,0.0067224188,0.0115149566,6.2354199999999995,0.5817688,34409.39,66594.30642000001,5.561096900000001,15.489639000000002,8.880914,14.379920000000002,56.7495,0.1236925,0.0035381,2180.498,0.0264798,3.44
26703,Thief River Falls,28038.0,27,Minnesota,MN,10.54222,8141.0817,-0.0649126,0.15095079999999997,0.1041527,0.11797919999999999,1.150205,83.327489,89.402508,74.800875,84.31575600000001,73.187399,61.150714,0.010484499999999999,0.0072816,0.0119852,0.066745,0.245,0.1055088,0.09085,0.6721199999999999,2.3380491,82.60575,0.1569299,1.711962,0.0610529,-0.16939210000000002,-0.0111871,0.6477210999999999,0.174247,1.633103,0.0100934446,0.0132320422,9.938272999999999,0.5339999,32094.95,74470.18132999999,6.981722200000001,15.592587,9.515816000000001,13.20568,54.8695,0.1643125,0.0057065,3712.6009999999997,0.0218399,2.5
26704,Grand Forks,108213.0,38,North Dakota,ND,10.607569999999999,7929.1477,0.016123500000000002,0.1682767,0.10788010000000002,0.10419110000000001,0.8318368,80.746532,85.969429,80.10006,76.666873,70.638426,50.745476000000004,0.0541189,0.0516321,0.056044100000000006,0.07711389999999999,0.23103,0.11569480000000001,0.10207000000000001,0.6398,1.6117065000000002,67.38285,0.893608,2.818515,0.0329911,-0.0480409,0.0766717,0.6801590000000001,0.0744423,2.686147,0.018694611599999997,0.023767939199999998,21.71894,0.6134396,31651.47,109868.4881,5.7094086,16.821822,8.004281,24.20625,50.80875,0.1807346,0.0053968,2039.431,0.0215891,3.44
26801,Fargo,206945.0,38,North Dakota,ND,10.19431,7830.6558,-0.7430346999999999,0.1496961,0.1026656,0.09933610000000001,1.518397,84.700643,88.81644399999999,80.148838,83.876858,75.264335,50.582967,0.0651535,0.0559555,0.0738104,0.05625319999999999,0.25395999999999996,0.10793039999999998,0.11083,0.59668,1.8003605999999999,62.43833000000001,0.6373674,1.860398,0.025210200000000002,0.185157,0.373238,0.7213759,0.09618600000000001,2.723029,0.0225180604,0.0199811544,35.22537,0.5183942,34084.59,118176.9289,6.2692762,17.185545,6.018217,27.01475,50.44725,0.17132429999999998,0.0053831,2262.824,0.020284299999999998,3.44
26802,Lisbon,16013.0,38,North Dakota,ND,11.359010000000001,8603.2969,-0.461479,0.155385,0.1119912,0.0952799,1.021073,88.910922,90.127707,71.259498,85.46602299999999,70.272667,77.012716,0.0175107,0.0171288,0.0143619,0.015078999999999999,0.19908,0.10737639999999998,0.06895,0.69913,2.6061769,88.21582,0.11865360000000001,0.9866983,0.0248388,-0.17531029999999997,-0.0039269,0.6469254,0.1920145,1.085783,0.009617186,0.014488228300000001,5.613671,0.6059008,35168.38,67305.72255,4.8790449,17.282155,10.80355,15.242389999999999,59.83,0.100159,0.0029351,1428.6660000000002,0.0208799,3.44
