cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q2_F,le_raceadj_q3_F,le_raceadj_q4_F,le_raceadj_q1_M,le_raceadj_q2_M,le_raceadj_q3_M,le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
7100,Port St. Lucie,1533306.0,12,Florida,FL,83.33924,84.83442,86.64097,88.23411,77.99551,80.47128000000001,82.66934,85.56913,1163677,1053493,917982,1024857,1146581,961918,823407,956058
7200,Cape Coral,692265.0,12,Florida,FL,83.02084,84.99996,86.17321,88.03186,77.81522,80.61865,83.03966,85.73687,568414,543342,479514,512960,575188,506333,417972,442925
7300,Palm Bay,589177.0,12,Florida,FL,82.45427,84.27354,86.18813,87.67741,76.35181,80.19399,82.29796999999999,84.94899000000001,458011,435899,421004,380640,419516,402541,407911,356504
7400,Orlando,1697906.0,12,Florida,FL,83.03199000000001,84.98369,86.27686,87.85144,77.45302,80.59419,83.10722,85.24389000000001,1461891,1299133,1079250,968793,1367643,1204760,1015508,957154
7500,Deltona,563598.0,12,Florida,FL,82.05773,84.68605,85.27384,86.98512,76.23561,80.26525,82.45866,84.73893000000001,516141,448431,361211,239579,479750,411844,327929,217798
7600,Jacksonville,1176696.0,12,Florida,FL,81.83001,84.1703,85.61979000000001,88.01257,75.53856999999999,79.72582,82.26869,85.21135,843457,856963,832519,756583,777993,791124,811579,726408
7700,Lake City,149695.0,12,Florida,FL,81.76961999999999,83.93798000000001,85.03031,88.45796999999999,76.13377,79.61816,81.07696,85.29347,130451,99057,75921,39373,117183,102048,72824,35479
7800,Ocala,377001.0,12,Florida,FL,82.31426,84.51233,85.93539,87.1238,76.38271999999999,80.20357,82.88994,84.2972,375595,307308,229196,139287,330534,273421,194668,121606
7900,Gainesville,320199.0,12,Florida,FL,81.61842,84.90679,86.58581,88.63374,76.47482,80.32828,83.38422,86.44444,217260,201119,170226,141975,206686,177406,154642,131919
8000,Sumter,209914.0,45,South Carolina,SC,83.51994,84.49313000000001,85.05228000000001,87.25256999999999,75.97723,80.08405,82.35333,83.96557,192652,137104,111447,67400,155974,134553,106821,60996
